codice;codice_linea;denominazione;ubicazione;comune;codice_zona;quartiere;geopoint
66508;657;CASTELLETTO SERRAVALLE;VIA S. APOLLINARE 1317;CASTELLETTO;560;FUORI BOLOGNA;44.44081, 11.065692
66509;656;CASTELLETTO SERRAVALLE BV;VIA S.APOLLINARE 1958;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.435733, 11.061179
66511;656;MARMOCCHIA;VIA S.APOLLINARE FR 2785;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.429021, 11.058442
66512;656;MARMOCCHIA;VIA S.APOLLINARE 2785;CASTELLO DI SERRAVALLE;560;FUORI BOLOGNA;44.429011, 11.058517
66515;656;POMPILIO;VIA S.APOLLINARE FR 4115;POMPILIO;560;FUORI BOLOGNA;44.418856, 11.052496
66516;656;POMPILIO;VIA S.APOLLINARE 4115;POMPILIO;560;FUORI BOLOGNA;44.418792, 11.052569
66517;656;PIANELLA;VIA CIANO FR 4810;ZOCCA;446;FUORI BOLOGNA;44.412856, 11.04117
66521;656;CIANO VOLTATA;VIA CIANO 4169;ZOCCA;446;FUORI BOLOGNA;44.41045, 11.036804
66522;656;CIANO VOLTATA;VIA CIANO FR 4169;ZOCCA;446;FUORI BOLOGNA;44.410421, 11.03689
66526;656;CIANO CIMITERO;VIA CIANO FR 3143;ZOCCA;446;FUORI BOLOGNA;44.41531, 11.034824
66545;656;MONTEOMBRARO RAMPA;VIA DEI MARTIRI FR MONTANARA;ZOCCA;446;FUORI BOLOGNA;44.392917, 11.006023
66553;656;MONTEOMBRARO CORNETA;VIA DEI MARTIRI FR BV CORNETA;ZOCCA;446;FUORI BOLOGNA;44.385093, 11.008129
66554;656;MONTEOMBRARO CORNETA;VIA DEI MARTIRI BV CORNETA;ZOCCA;446;FUORI BOLOGNA;44.3851, 11.008242
66557;656;MONTEOMBRARO CASEIFICIO;VIA DEI MARTIRI 319;MONTEOMBRARO;446;FUORI BOLOGNA;44.382773, 11.006907
66565;656;MONTEOMBRARO CAMPO SPORTI;VIA MONTEOMBRARO 443;MONTEOMBRARO;446;FUORI BOLOGNA;44.373541, 11.004608
66574;656;MONTEOMBRARO CASA NADINI;VIA TERENZIO SANTULINI FR 2171;ZOCCA;446;FUORI BOLOGNA;44.366998, 10.994734
66581;656;ZOCCHETTA;VIA TERENZIO SANTULINI 1047;ZOCCA;446;FUORI BOLOGNA;44.363703, 10.987507
66590;656;PREDIERA;VIA TESI FR 126;ZOCCA;446;FUORI BOLOGNA;44.349852, 10.985169
66593;656;ZOCCA LA PESA;VIA TESI 858;ZOCCA;446;FUORI BOLOGNA;44.347555, 10.992983
