quartiere;tipologia;nome;anno;tipo;indirizzo;id;delibera;label1;label2;classific;nome_compl;isabella;faldone;sed_comm;nome_label;dati_anagr;url;geo_point_2d;geo_shape
Santo Stefano;Giardino;Norma Mascellani;2011-04-19;Aree verdi (40);via San Mamolo;49;Delibera del Commissario Straordinario 19 aprile 2011;Giardino Norma Mascellani;Mascellani;Pittrice;Norma Mascellani;;26 - Delibere del 2011;5 aprile 2011;Norma Mascellani;Bologna, 1909-2009;https://drive.google.com/uc?export=download&id=1O8GruxcLo_CjrK4-t65Ml7HwnaZWHyxF;44.4792323086, 11.3357587907;"{""coordinates"": [[[[11.335559351965724, 44.479191228185854], [11.335899419194043, 44.47943116008012], [11.335921280111386, 44.47941495809055], [11.335927981826327, 44.47940644877207], [11.335928623956848, 44.47939104137893], [11.335800558788275, 44.47910927817994], [11.335782789577118, 44.479092537474486], [11.33572714712068, 44.479057294573614], [11.335674549682494, 44.47910027942182], [11.335669868477156, 44.47910396509], [11.335648920464356, 44.47912045816874], [11.335624311580844, 44.479139833549624], [11.335573077748187, 44.47917940803338], [11.335559351965724, 44.479191228185854]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Giardino;Lavinia Fontana;2009-04-14;Aree verdi (40);via del Piombo;31;Delibera di Giunta 14 aprile 2009;Giardino Lavinia Fontana;Fontana;Pittrice;Lavinia Fontana;;24 - Delibere del 2008-2009;16 dicembre 2008;Lavinia Fontana;Bologna, 1552 - Roma, 1614;https://drive.google.com/uc?export=download&id=1q65A0WZyz_2Yq-DyWvuGOKBOsa2JhaGM;44.4880992472, 11.3551798125;"{""coordinates"": [[[[11.354299480698206, 44.48822353947073], [11.354581329680098, 44.48861389015833], [11.354610547879059, 44.488603483564], [11.354663952340164, 44.48868159491974], [11.354709276127894, 44.488666844231126], [11.354752655970907, 44.48873597437417], [11.354893332553711, 44.48868912826117], [11.354859659038745, 44.488636799245356], [11.354895879693464, 44.48862434853345], [11.354852765352078, 44.48855619045546], [11.354970991490132, 44.48851667212329], [11.354748663782987, 44.48817193536216], [11.355349352373576, 44.487967171338525], [11.355358966975713, 44.4879828346818], [11.355450536165463, 44.48795538297536], [11.355778037607562, 44.48845425291814], [11.355687032354734, 44.48848360042222], [11.355672290105272, 44.48846103900777], [11.355628531333243, 44.488475606109915], [11.355714305358717, 44.48862246588178], [11.355803458012712, 44.48859525610915], [11.355764965067092, 44.488526203469824], [11.356084439997769, 44.488436862517005], [11.355478017867943, 44.487494436826815], [11.354970414405143, 44.48768647197202], [11.355010475217027, 44.48774127959185], [11.354851645864812, 44.48780073325877], [11.354874916482514, 44.48783576898578], [11.3547561219704, 44.48788012597601], [11.354724653561973, 44.48783502187348], [11.354680016004005, 44.48785023368887], [11.354736512207552, 44.48793018948125], [11.354698978361165, 44.48794450190345], [11.354761859602368, 44.48803511841056], [11.354299480698206, 44.48822353947073]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Giardino;Amelia Rosselli;2015-09-01;Aree verdi (40);via Andreini;68;Delibera di Giunta 1 settembre 2015;Giardino Amelia Rosselli;Rosselli;Poetessa e traduttrice;Amelia Rosselli;SI;31 - Delibere del 2015-2016;27 maggio 2015;Amelia Rosselli;Parigi (Francia), 1930 - Roma, 1996;https://drive.google.com/uc?export=download&id=1f-t5YmicY5xU0JYtmm8wXzkrcmsV9wCn;44.5021558577, 11.3744909912;"{""coordinates"": [[[[11.374874638310017, 44.50243885562014], [11.37477838733296, 44.50209118798202], [11.374708188824503, 44.5018440205962], [11.374686222252942, 44.50181946918217], [11.374666718764917, 44.50180501063311], [11.374651479620153, 44.50179371281989], [11.374632965047184, 44.50178141303884], [11.374465587243881, 44.50185587726145], [11.37443090378163, 44.50198522075267], [11.374398800283538, 44.50198555552761], [11.374357491978994, 44.501976411454116], [11.374249942540274, 44.50198156002814], [11.3741814651125, 44.50199365196819], [11.374153746416676, 44.50197493564509], [11.373993505594946, 44.5019861625058], [11.373910966217293, 44.50199570874021], [11.37389033527614, 44.50200399828792], [11.37387900186775, 44.5020199545519], [11.37388052933583, 44.50207531635257], [11.37397541397197, 44.502065432235504], [11.373979750317881, 44.502088568244524], [11.374055062214659, 44.50208128758826], [11.37413048352019, 44.50207399801162], [11.374198625332092, 44.502066908247635], [11.374273317797966, 44.50243472089592], [11.374833309513347, 44.502440197202084], [11.374874638310017, 44.50243885562014]]]], ""type"": ""MultiPolygon""}"
Savena;Giardino;Alida Valli;2017-07-04;Aree verdi (40);via Marx;93;Delibera di Giunta 4 luglio 2017;Giardino Alida Valli;Valli;Attrice;Alida Maria Altenburger von Markenstein und Frauenberg;;32 - Delibere del 2017;15 dicembre 2016 e 19 aprile 2017;Alida Valli;Pola (Croazia), 1921 - Roma, 2006;https://drive.google.com/uc?export=download&id=1Xx99x34r5zW9tXjfyHROPZ6V2t8vCWAR;44.4837683663, 11.3929572414;"{""coordinates"": [[[[11.392311550619944, 44.48370056271931], [11.392617636672037, 44.48417062624297], [11.393070555031864, 44.48401965461482], [11.39360547045618, 44.483773458657424], [11.3933332357139, 44.48338139584814], [11.392311550619944, 44.48370056271931]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Argia Magazzari;1963-12-19;Strade (74);da via Ristori a via Andreini;45;Delibera del Consiglio Comunale 19 dicembre 1963;Via Argia Magazzari;Magazzari;Attrice drammatica;Argia Magazzari;SI;3 - Delibere dal 1960 al 1966;29 novembre 1963;Argia Magazzari;Bologna, 1844-1934;https://drive.google.com/uc?export=download&id=1AVM1nQr5T65U-ijWhUD2wQdHZnyKo39p;44.5035358515, 11.371720663;"{""coordinates"": [[[[11.37067768294189, 44.502607638106724], [11.370675592460508, 44.50260773920352], [11.370673554450997, 44.50260808731036], [11.370671625495103, 44.502608672762655], [11.37066985914689, 44.502609479306386], [11.370668304445914, 44.502610484549265], [11.370667004555722, 44.502611660582495], [11.370665995565496, 44.5026129747556], [11.370665305488101, 44.50261439058285], [11.370664953482347, 44.5026158687563], [11.370664949321085, 44.502617368237054], [11.370665293119865, 44.502618847394636], [11.370665975333749, 44.50262026516285], [11.37069112445961, 44.502661093817366], [11.370741127683306, 44.50274868647072], [11.370741377747354, 44.50274909721539], [11.370907186074799, 44.50300248826382], [11.370907365644554, 44.50300275101999], [11.371001461547337, 44.50313518289364], [11.371001504677432, 44.5031352429873], [11.37100188689676, 44.50313573175523], [11.371095597540437, 44.50324754864987], [11.371095777230387, 44.5032477575561], [11.37109607980268, 44.50324808094321], [11.371197195039038, 44.5033514145663], [11.371197502024541, 44.5033517142346], [11.371290221646015, 44.50343859671253], [11.371291199234449, 44.503439404526006], [11.371292303635597, 44.503440123791144], [11.371417092242922, 44.50351207826783], [11.371417431597408, 44.50351226737048], [11.371418024948403, 44.503512566579566], [11.371613620033733, 44.50360553660726], [11.371613901749582, 44.50360566756593], [11.372040239614654, 44.503796802773586], [11.372040408458096, 44.503796876736544], [11.373084619375703, 44.50424599106857], [11.37308648165002, 44.50424664882052], [11.373088469809602, 44.504247078241285], [11.373090529622038, 44.50424726761729], [11.373092604900387, 44.50424721178279], [11.37309463903583, 44.5042469122608], [11.373096576541844, 44.50424637722161], [11.373098364567726, 44.50424562125985], [11.373099954340256, 44.504244664996406], [11.373101302494126, 44.50424353451596], [11.37310237225481, 44.5042422606554], [11.373103134441735, 44.50424087816271], [11.373103568264222, 44.50423942474908], [11.373103661888624, 44.504237940060285], [11.37310341276111, 44.50423646459518], [11.373102827677322, 44.50423503860106], [11.373101922597016, 44.50423370097574], [11.373100722208704, 44.504232488206505], [11.373099259256207, 44.50423143337491], [11.373097573645483, 44.5042305652543], [11.372053468371137, 44.50378149554713], [11.371627387099961, 44.503590475935034], [11.371432412856855, 44.50349780072201], [11.371309265819521, 44.50342679347382], [11.371217646742645, 44.503340940900685], [11.37111692456651, 44.50323800407784], [11.371023679606846, 44.5031267467624], [11.370929875860565, 44.50299472312794], [11.370764293394242, 44.50274167797409], [11.3707143175734, 44.502654136960075], [11.370714182501102, 44.502653911191594], [11.370688988030965, 44.50261300601054], [11.37068801404907, 44.502611719170815], [11.370686761405768, 44.502610562379424], [11.37068526325188, 44.502609566250484], [11.370683559235589, 44.50260875714626], [11.370681694453147, 44.50260815647941], [11.370679718255433, 44.502607780146384], [11.37067768294189, 44.502607638106724]]]], ""type"": ""MultiPolygon""}"
Borgo Panigale - Reno;Via;Clelia Barbieri;1974-02-25;Strade (74);da via Caduti di Casteldebole, non ha sfogo;9;Delibera del Consiglio Comunale 25 febbraio 1974;Via Clelia Barbieri;Barbieri;Benefattrice e religiosa;Clelia Barbieri;SI;5 - Delibere dal 1971 al 1974;6 febbraio 1974;Clelia Barbieri;Budrie di San Giovanni in Persiceto (BO), 1847 - Bologna, 1870;https://drive.google.com/uc?export=download&id=1Uz4N3IfhfqjnRQxYo8J5b2d2uuNgNpuk;44.5014342097, 11.2774077425;"{""coordinates"": [[[[11.278107669364369, 44.501214820460454], [11.27810593446481, 44.50121488547329], [11.278104228594353, 44.50121512082318], [11.278102584247488, 44.50121552202706], [11.276703187673727, 44.50163629674731], [11.276701345818454, 44.50163698358898], [11.276699687055459, 44.50163787803353], [11.276698256635925, 44.50163895568041], [11.276697093581829, 44.50164018713138], [11.27669622962139, 44.501641538792335], [11.276695688323535, 44.50164297378985], [11.276695484454947, 44.50164445297708], [11.276695623577202, 44.501645936001694], [11.276696101895055, 44.50164738240662], [11.27669690635998, 44.501648752733836], [11.276698015026122, 44.50165000960066], [11.276699397648985, 44.50165111871967], [11.276701016510502, 44.501652049833986], [11.276702827447988, 44.501652777542745], [11.276704781058898, 44.50165328199397], [11.276706824048544, 44.50165354942615], [11.27670890068397, 44.50165357254376], [11.276710954314355, 44.501653350716126], [11.27671292891647, 44.50165288999471], [11.278112325722118, 44.501232112953765], [11.278114221433865, 44.50123140176824], [11.278115921117415, 44.50123047075856], [11.278117375511936, 44.50122934690763], [11.278118542465666, 44.50122806278726], [11.278119388157554, 44.501226655614296], [11.278119888077484, 44.501225166171906], [11.278120027736625, 44.50122363762766], [11.278119803087359, 44.501222114282356], [11.278119220640573, 44.501220640286114], [11.27811829727697, 44.50121925835878], [11.278117059757813, 44.50121800855189], [11.27811554394932, 44.50121692708775], [11.278113793783184, 44.5012160453097], [11.278111859983323, 44.501215388773765], [11.278109798595771, 44.501214976507875], [11.278107669364369, 44.501214820460454]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Via;Clotilde Tambroni;1925-11-06;Strade (74);da via Mezzofanti a via Masi;90;Delibera del Consiglio Comunale 6 novembre 1925;Via Clotilde Tambroni;Tambroni;Grecista, letterata ed erudita;Clotilde Tambroni;SI;1 - Delibere dal 1807 al 1945;25 e 29 maggio 1925;Clotilde Tambroni;Bologna, 1758-1817;https://drive.google.com/uc?export=download&id=1IS5KZdbN4TdcQXoMjOPON3IOwoYwTxnE;44.4854236127, 11.3634327971;"{""coordinates"": [[[[11.363283198828432, 44.48561415506324], [11.364310669602252, 44.48527570248498], [11.365245586300135, 44.48497481872594], [11.365247498582141, 44.484974053160215], [11.365249196136752, 44.48497306152855], [11.365250627393833, 44.48497187395584], [11.365251748873124, 44.484970526519426], [11.365252526505138, 44.48496906015319], [11.365252936666165, 44.484967519403995], [11.365252966895914, 44.48496595107835], [11.365252616276068, 44.48496440282057], [11.36525189545816, 44.484962921665264], [11.365250826339995, 44.48496155260856], [11.365249441400401, 44.48496033724111], [11.365247782712569, 44.48495931248465], [11.365245900665888, 44.4849585094703], [11.36524385243518, 44.484957952592914], [11.365241700243763, 44.484957658769865], [11.365239509473197, 44.48495763692726], [11.365237346677024, 44.48495788772864], [11.36523527755896, 44.484958403554884], [11.364300355761316, 44.48525928898403], [11.364300253539488, 44.48525932352096], [11.363274731934888, 44.48559713396379], [11.363075514587516, 44.48560822380332], [11.361832358109547, 44.48557539092706], [11.361543303337061, 44.48555481652564], [11.361541227365999, 44.485554791788516], [11.36153917402223, 44.48555501202292], [11.361537199327586, 44.485555471220195], [11.361535357158095, 44.48555615685192], [11.361533697774084, 44.48555705021188], [11.361532266448906, 44.485558126926335], [11.361531102233737, 44.48555935761902], [11.361530236892145, 44.485560708712704], [11.361529694033457, 44.48556214334517], [11.361529488468639, 44.485563622375004], [11.36152962580619, 44.485565105449524], [11.361530102299119, 44.485566552105624], [11.361530904947186, 44.48556792287387], [11.361532011851573, 44.48556918035526], [11.36153339281236, 44.485570290241625], [11.361535010152474, 44.48557122225167], [11.361536819745648, 44.485571950957144], [11.361538772220317, 44.4855724564766], [11.361540814306636, 44.48557272501783], [11.361830253226973, 44.48559332553843], [11.361831034663139, 44.48559336540425], [11.363075308775134, 44.48562622898949], [11.36307557064431, 44.48562623235614], [11.363076724067849, 44.4856262084624], [11.363278917404134, 44.48561495146973], [11.363280385218237, 44.485614807905876], [11.36328181905593, 44.485614541191445], [11.363283198828432, 44.48561415506324]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Eleonora Duse;1959-04-17;Strade (74);da via Ristori a via Mondo;28;Delibera del Consiglio Comunale 17 aprile 1959;Via Eleonora Duse;Duse;Attrice drammatica;Eleonora Duse;SI;2 - Delibere dal 1947 al 1959;25 ottobre 1958;Eleonora Duse;Vigevano (PV), 1859 - Pittsburg (USA), 1924;https://drive.google.com/uc?export=download&id=1s5IH7UKh52WXOMGuEF6FsZu-Eyj851VT;44.5014867639, 11.36993766;"{""coordinates"": [[[[11.36919007002678, 44.500350584364234], [11.369187944973216, 44.500350689145705], [11.369185875129512, 44.50035104916712], [11.369183919908387, 44.5003516540944], [11.369182135432471, 44.50035248656375], [11.369180572923312, 44.500353522679994], [11.369179277231149, 44.50035473270244], [11.369178285547518, 44.50035608189869], [11.3691776263377, 44.50035753154142], [11.369177318523676, 44.5003590400201], [11.36917737094095, 44.50036056403541], [11.369177782084968, 44.500362059842026], [11.369178540154289, 44.50036348450434], [11.36971714280736, 44.50116458400082], [11.369717213007517, 44.50116468694005], [11.370298902974895, 44.5020590337333], [11.370666094137995, 44.50262044951046], [11.370667126571739, 44.50262173904398], [11.370668441521296, 44.50262288936488], [11.370670003114194, 44.502623869091806], [11.3706717687494, 44.502624651497314], [11.370673690259503, 44.502625215236996], [11.370675715224733, 44.502625544931774], [11.370677788403018, 44.502625631587364], [11.370679853236997, 44.502625472839775], [11.370681853396958, 44.50262507301973], [11.370683734317518, 44.502624443034506], [11.370685444686224, 44.502623600070436], [11.370686937843361, 44.50262256712401], [11.37068817305486, 44.5026213723745], [11.370689116623549, 44.5026200484153], [11.370689742808427, 44.502618631364655], [11.370690034526875, 44.50261715988044], [11.370689983820702, 44.50261567410545], [11.370689592073218, 44.50261421457238], [11.370688869971515, 44.502612821098], [11.370321691563527, 44.50205142106298], [11.36973994023914, 44.50115698774607], [11.369739873040587, 44.50115688309612], [11.369201199984056, 44.50035568077349], [11.369200200902432, 44.50035445286995], [11.36919894415599, 44.500353352858696], [11.369197461092472, 44.50035240817792], [11.369195788704777, 44.50035164239132], [11.369193968708212, 44.50035107460035], [11.369192046499975, 44.50035071896775], [11.36919007002678, 44.500350584364234]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Giacinta Pezzana;1959-04-17;Strade (74);da via Vezza a via del Lavoro;62;Delibera del Consiglio Comunale 17 aprile 1959;Via Giacinta Pezzana;Pezzana;Attrice drammatica;Giacinta Pezzana;SI;2 - Delibere dal 1947 al 1959;25 ottobre 1958;Giacinta Pezzana;Torino, 1841 - Aci Castello (CT), 1919;https://drive.google.com/uc?export=download&id=1GglV9dhAEtLUm8M_bH2ei8DUFTLW6N4S;44.5028449776, 11.3599011724;"{""coordinates"": [[[[11.358668834230517, 44.50220708391288], [11.35866671306078, 44.5022071881497], [11.35866464675418, 44.50220754667251], [11.3586626943936, 44.50220814922991], [11.358660911803812, 44.50220897859265], [11.35865934995526, 44.50221001104642], [11.35865805350664, 44.50221121706974], [11.358657059527937, 44.50221256217823], [11.358656396440486, 44.502214007910545], [11.358656083204291, 44.50221551292818], [11.358656128775895, 44.502217034197436], [11.35865653185227, 44.502218528219906], [11.358657280908087, 44.502219952276285], [11.35865835452525, 44.50222126564785], [11.358659722005312, 44.50222243078069], [11.35866134424726, 44.50222341435961], [11.359995445979106, 44.502902665283656], [11.361124247955546, 44.503483244366656], [11.361126132596649, 44.50348404500625], [11.361128182870898, 44.503484599291355], [11.361130336489861, 44.5034848903825], [11.361132528025431, 44.50348490943617], [11.361134690897574, 44.5034846558735], [11.36113675939707, 44.50348413739786], [11.361138670681797, 44.50348336976084], [11.3611403666859, 44.50348237628364], [11.361141795883881, 44.503481187148644], [11.36114291485596, 44.503479838482406], [11.36114368960719, 44.50347837125813], [11.361144096600244, 44.503476830050865], [11.361144123470494, 44.503475261683285], [11.361143769401627, 44.50347371380325], [11.361143045150481, 44.50347223343615], [11.361141972720203, 44.503470865556295], [11.361140584691805, 44.503469651720614], [11.361138923234323, 44.50346862880603], [11.3600100735915, 44.50288802557796], [11.35867592038849, 44.50220875061256], [11.358674301254464, 44.50220805091754], [11.358672553858057, 44.50220753282562], [11.35867071768585, 44.50220720804434], [11.358668834230517, 44.50220708391288]]]], ""type"": ""MultiPolygon""}"
Borgo Panigale - Reno;Via;Gilda Chiari Allegretti;1974-02-25;Strade (74);da via Caduti di Casteldebole, non ha sfogo;18;Delibera del Consiglio Comunale 25 febbraio 1974;Via Gilda Chiari Allegretti;Chiari Allegretti;Pedagogista;Gilda Chiari Allegretti;SI;5 - Delibere dal 1971 al 1974;6 febbraio 1974;Gilda Chiari Allegretti;Parma, 1878 - Sestola (MO), 1943;https://drive.google.com/uc?export=download&id=1Q9a8clKU93Uch0HxXLI2dAxWr2TPeGZ9;44.5021088583, 11.2781069355;"{""coordinates"": [[[[11.278230540593828, 44.50221417342309], [11.27863704394369, 44.5021123049552], [11.278639037053507, 44.50211165605317], [11.278640842661199, 44.50211076955255], [11.278642406017383, 44.50210967233372], [11.27864367971818, 44.50210839766638], [11.278644625142634, 44.50210698420086], [11.278645213623737, 44.50210547479603], [11.278645427317668, 44.50210391521988], [11.278645259744868, 44.50210235276165], [11.27864471598648, 44.50210083479797], [11.278643812530301, 44.50209940735634], [11.278642576770816, 44.502098113719406], [11.278641046178558, 44.50209699311265], [11.278639267163934, 44.502096079514935], [11.27863729366996, 44.50209540062823], [11.278635185536627, 44.50209497703764], [11.278633006686427, 44.502094821587214], [11.278630823186115, 44.5020949389905], [11.278628701243454, 44.502095325687606], [11.278223410755363, 44.50219689077664], [11.278150244339333, 44.50220419995304], [11.278078400566423, 44.502178334258026], [11.277644048350492, 44.50190861150596], [11.277642372852894, 44.50190773326431], [11.277640518208589, 44.501907064382046], [11.277638535014368, 44.50190662310706], [11.277636477374, 44.50190642147781], [11.277634401422226, 44.501906464994995], [11.27763236379335, 44.50190675247137], [11.277630420076171, 44.50190727606431], [11.27762862329749, 44.50190802148956], [11.277627022475457, 44.50190896841114], [11.277625661282311, 44.50191009099591], [11.277624576852958, 44.50191135861853], [11.277623798771867, 44.501912736696774], [11.277623348266, 44.50191418763516], [11.27762323762569, 44.501915671850405], [11.277623469869356, 44.50191714885146], [11.277624038661155, 44.50191857834403], [11.277624928483817, 44.501919921329936], [11.277626115061988, 44.50192114117101], [11.277627566024472, 44.501922204588546], [11.278063102369428, 44.502192661461144], [11.278064341449225, 44.50219334199113], [11.278065691347749, 44.50219390428652], [11.278142447239194, 44.502221541152586], [11.278144202546155, 44.502222058081024], [11.278146046685519, 44.50222237972309], [11.278147937505254, 44.502222498726894], [11.278149831786338, 44.50222241237234], [11.278228123884377, 44.50221459257602], [11.278229345792518, 44.502214423024746], [11.278230540593828, 44.50221417342309]]]], ""type"": ""MultiPolygon""}"
Santo Stefano;Via;Laura Bassi Veratti;1925-11-06;Strade (74);da via Mazzini a via Murri;10;Delibera del Consiglio Comunale 6 novembre 1925;Via Laura Bassi Veratti;Bassi Veratti;Scienziata;Laura Maria Caterina Bassi Veratti;SI;1 - Delibere dal 1807 al 1945;25 e 29 maggio 1925;Laura Bassi Veratti;Bologna, 1711-1778;https://drive.google.com/uc?export=download&id=1fYT6fTv8k5o3wuQ18FJcr9mMp5i3Kgh6;44.4825690718, 11.3670540895;"{""coordinates"": [[[[11.36500511921518, 44.479505572454045], [11.365003002571969, 44.47950567629271], [11.365000940478565, 44.479506033549924], [11.364998991696522, 44.47950663404526], [11.364997211758466, 44.47950746066697], [11.36499565138564, 44.4795084898596], [11.364994355042548, 44.47950969229517], [11.364993359669889, 44.479511033709024], [11.364992693631898, 44.47951247587612], [11.364992375908065, 44.479513977700364], [11.364992415552306, 44.47951549638565], [11.364992811434938, 44.47951698865542], [11.364993552274884, 44.479518411985815], [11.365577762691105, 44.48040430519701], [11.365578285162778, 44.480405012616], [11.365578892175428, 44.48040568455185], [11.365649182655757, 44.4804763234918], [11.366102575525758, 44.48117298633516], [11.366102807911938, 44.481173323830006], [11.366102999369344, 44.48117357920499], [11.366146585937422, 44.48122936314752], [11.366231449938159, 44.48135975070832], [11.366231506404072, 44.48135983745101], [11.366608137828678, 44.481922874922056], [11.36660820240852, 44.48192297248544], [11.36687076512867, 44.482327914961026], [11.366870875363874, 44.48232807861136], [11.367148505505932, 44.48273460892824], [11.367149176842974, 44.48273547084594], [11.367149976690285, 44.48273627458906], [11.367159637667145, 44.4827449308922], [11.367547300465528, 44.483326054182704], [11.367908905132738, 44.48386447984471], [11.368289326451098, 44.48443146810637], [11.36828938781348, 44.484431561889345], [11.368643453433998, 44.484975374717656], [11.368643691574608, 44.48497572087902], [11.36911318330444, 44.48562104908153], [11.369114360620276, 44.48562237109848], [11.369115840598512, 44.48562352676582], [11.369117578313885, 44.48562448100282], [11.369119521017414, 44.4856252048433], [11.36912160973762, 44.485625676314804], [11.369123781070622, 44.48562588110564], [11.369125969104806, 44.485625812999295], [11.369128107421572, 44.48562547406316], [11.369130131111529, 44.485624874585795], [11.369131978744818, 44.48562403276452], [11.36913359423586, 44.48562297415317], [11.369134928545838, 44.48562173088627], [11.369135941171308, 44.485620340703626], [11.369136601373675, 44.485618845804744], [11.36913688911229, 44.48561729156785], [11.36913679565277, 44.48561572517234], [11.36913632383214, 44.48561419416669], [11.369135487972718, 44.48561274502516], [11.368666136592749, 44.48496760795963], [11.368312114238428, 44.48442386298576], [11.368312049808479, 44.48442376926648], [11.367931564509101, 44.483856683505095], [11.367569970368267, 44.48331827527878], [11.36718169628245, 44.48273623725786], [11.367181002342413, 44.48273533757563], [11.367180172273669, 44.4827344990657], [11.367170485756125, 44.4827258185685], [11.366893483056737, 44.482320211020046], [11.366630938177765, 44.48191529514993], [11.366630873597899, 44.48191519758654], [11.366254239287878, 44.481352149810164], [11.366254180499196, 44.48135206256623], [11.366169177368816, 44.481221461969454], [11.366168944982057, 44.481221124474764], [11.366168753546411, 44.4812208696489], [11.366125166942032, 44.481165085166076], [11.365671484072573, 44.4804679745701], [11.365670949152303, 44.480467246489255], [11.36567032761403, 44.48046655456593], [11.365600018773293, 44.48039589843687], [11.365016284760346, 44.47951072789524], [11.365015290690694, 44.47950948738168], [11.365014034752766, 44.47950837524037], [11.365012548648057, 44.47950741954316], [11.365010869887762, 44.47950664441308], [11.365009040845953, 44.4795060694154], [11.365007107689983, 44.479505709063815], [11.36500511921518, 44.479505572454045]]]], ""type"": ""MultiPolygon""}"
San Donato - San Vitale;Via;Lyda Borelli;1986-03-07;Strade (74);traversa di via Ungarelli;13;Delibera del Consiglio Comunale 7 marzo 1986;Via Lyda Borelli;Borelli;Attrice;Lyda Borelli;SI;8 - Delibere dal 1985 al 1986;27 gennaio 1986;Lyda Borelli;La Spezia, 1887 - Roma, 1959;https://drive.google.com/uc?export=download&id=1Lq7dxSgKbTpr-ppVxa8at2lCMVWH5YPx;44.5020786611, 11.3684594598;"{""coordinates"": [[[[11.369304774551672, 44.50179163216696], [11.369302918643468, 44.5017917089471], [11.369301098987853, 44.50179198124804], [11.369299355576574, 44.50179244308523], [11.368431105877514, 44.50207589056882], [11.368430994490803, 44.502075926948066], [11.367611354815997, 44.50235218296136], [11.367609461012313, 44.50235297251705], [11.367607787541516, 44.502353985415226], [11.36760638524599, 44.50235519088263], [11.367605296729455, 44.50235655229548], [11.367604555062577, 44.50235802829217], [11.36760418277827, 44.502359574029825], [11.367604191187077, 44.50236114254682], [11.367604580033555, 44.50236268618932], [11.367605337504035, 44.5023641580594], [11.367606440585522, 44.5023655134395], [11.367607855764865, 44.50236671115129], [11.367609540046939, 44.50236771480659], [11.367611442260879, 44.50236849391293], [11.367613504614743, 44.50236902479996], [11.367615664451304, 44.50236929133859], [11.367617856151663, 44.50236928543098], [11.367620013128864, 44.502369007256625], [11.367622069850881, 44.502368465266855], [11.368441571138675, 44.502092257106156], [11.368441709696643, 44.50209220917354], [11.36930982097863, 44.50180880844158], [11.36931166256372, 44.50180806310539], [11.369313303482382, 44.50180710735808], [11.369314697283329, 44.501805968255034], [11.369315804510725, 44.501804678042106], [11.369316593821084, 44.50180327324275], [11.369317042870554, 44.501801793624175], [11.36931713894743, 44.5018002810716], [11.369316879331985, 44.50179877840243], [11.369316271373457, 44.50179732815444], [11.36931533228202, 44.50179597138131], [11.369314088641579, 44.50179474649073], [11.369312575657228, 44.501793688157015], [11.36931083615867, 44.501792826339546], [11.369308919387777, 44.50179218543472], [11.369306879604665, 44.501791783585325], [11.369304774551672, 44.50179163216696]]]], ""type"": ""MultiPolygon""}"
